node_id,i,j,k,lon,lat,level_hPa,T_K,p_Pa,u_ms,v_ms,omega_pas,Phi,q
366,0,6,3,-10.0,37.0,850,-1.5282278845444836e+82,85000.0,51072.2961,34626.0197,2.0,-2.2142256187499185e+83,0.00605718
366,0,6,4,-10.0,37.0,700,1.300382887064982e+82,70000.0,7518.9879,20714.2123,-2.0,-2.8491616969424655e+83,0.00162185
366,0,6,5,-10.0,37.0,500,-5.3430040021462995e+81,50000.0,16594.0234,50389.9,-2.0,8.505205727138283e+82,0.00078738
366,0,6,6,-10.0,37.0,300,-2.107513023128986e+82,30000.0,-37190.6374,-2872.6888,0.0,-1.8518803949045427e+84,3.824e-05
427,0,7,1,-10.0,37.25,1000,-5.484067459350017e+82,100000.0,1600.7805,43660.6694,0.0,1098.34,0.00954843
427,0,7,2,-10.0,37.25,925,3.154013170960926e+82,92500.0,19249.493,66023.0423,2.0,-2.6072706532534765e+83,0.0074929
427,0,7,3,-10.0,37.25,850,-1.6408197924035576e+82,85000.0,-8877.9888,-63119.4987,-2.0,-7.70792990086773e+82,0.00609995
427,0,7,4,-10.0,37.25,700,1.2855216439016272e+82,70000.0,-20608.6235,6846.6164,2.0,-1.760903001254275e+83,0.00291633
427,0,7,5,-10.0,37.25,500,-6.66284170999352e+80,50000.0,14587.3395,-61943.3809,-2.0,4.1255618862836967e+83,0.00026975
427,0,7,6,-10.0,37.25,300,-1.6914581596297894e+82,30000.0,-62527.0901,-76642.9853,0.0,-8.764428429129139e+83,3.276e-05
488,0,8,1,-10.0,37.5,1000,-5.026596689482852e+82,100000.0,24118.2831,73155.0995,0.0,1068.92,0.00942384
488,0,8,2,-10.0,37.5,925,2.730735493031394e+82,92500.0,-1714.0267,-10864.2085,-2.0,-2.5690094652643235e+83,0.00729135
488,0,8,3,-10.0,37.5,850,-1.4259137002490786e+82,85000.0,-18791.3926,19890.1906,-2.0,-9.854206716480109e+82,0.00605718
488,0,8,4,-10.0,37.5,700,1.9641413809560544e+80,70000.0,344.9123,8821.511,2.0,-4.904282267470862e+83,0.0030085
488,0,8,5,-10.0,37.5,500,-3.760573866990316e+81,50000.0,39845.597,61155.2861,2.0,-6.625540589068622e+83,0.00016291
488,0,8,6,-10.0,37.5,300,-2.1763667396327777e+82,30000.0,-40552.0008,34128.3587,0.0,-2.5339478062183753e+84,3.824e-05
549,0,9,1,-10.0,37.75,1000,-3.4596033235024574e+82,100000.0,12822.365,-63768.1471,0.0,1029.7,0.00936208
